,Text,Response
0,"Недавно купил этот автомобиль. Авто отличное! Двигатель 2,5 литра, турбодизель. Прежний хозяин сказал при продаже, что масло не жрет, солярку тоже, летит как угорелая! Так оно и есть. 140 км/ч нормальная крейсерская скорость. Вообще немцы умеют делать автомобили. Дорогу держит отлично, так как достаточно широкая машина. Тормоза все дисковые. Главное передний привод, по сравнению с другими немецкими автомобилями. Такими как мерседес и бмв этого же класса. Места в автомобиле очень много. Не тесно даже, когда сидят пять взрослых человек. Багажное отделение тоже огромно. Влезла стиральная машина. По соотношению цена - качество, отличный автомобиль. Больше никогда не сяду за руль российского автомбиля! Всем рекомендую Ауди. ","
Авто: отличное: положительно 
двигатель: 2,5 литра, турбодизель: положительно 
прежний хозяин: сказал при продаже, что масло не жрет, солярку тоже, летит как угорелая: положительно 
крейсерская скорость: 140 км/ч: положительно 
дорогу держит: отлично: положительно 
тормоза: все дисковые: положительно 
передний привод: по сравнению с другими немецкими автомобилями: положительно 
места: очень много: положительно 
багажное отделение: огромно: положительно 
соотношение цена - качество: отличный автомобиль: положительно"
1,"Купил данную машину в 2012 году, выбор пал именно на нее, потому как средства на покупку были весьма ограничены, многие отговаривали от покупки, утверждая что лучше ""старенькая иномарка"" чем ""наша приора"" но я решил, что лучше взять новое, чем нарваться на неизвестно откуда взявшуюся ""старую иномарку"". Пригнав ее с салона, был приятно удивлен ходовыми характеристиками, едет плавно, нет резких кренов на кочках. Гидроусилитель тоже порадовал, руль можно крутить буквально одним пальцем. Приличная динамика, из отечественных машин вероятно одна из самых ""шустрых"". В общем очень доволен, пока что кроме плановых СТО никаких ремонтов не производил.","
Машина: неплохая: положительно 
ходовые характеристики: плавно, нет резких кренов на кочках: положительно 
гидроусилитель: порадовал: положительно 
динамика: приличная: положительно"
7,"Работал в одной организации. Данная модель ваза только появилась. И решили купить. Пригнали два автомобиля. Поначалу вроде нечего. Но через пару недель одна из машин начала глохнуть. Погнали к специалистам. Оказалось плохо прикручен карбюратор, одной гайки не было. Прошло пару лет на другой машине сгорел блок предохранителей. Прошло еще немного времени и в машине где сгорел блок предохранителей, перегорел клапан в двигателе. Цены на запчасти конечно завышены. многие запчасти по двигателю и ходовой подходят от ваз 2109. Салон тесноват. Можно было сзади сделать побольше. А так данная модель нормальная. Хочется что-то получше.","
машина: начала глохнуть: негативно 
блок предохранителей: сгорел: негативно 
клапан: перегорел: негативно 
цены: завышены: негативно 
салон: тесноват: негативно"
8,"отличный авто расход у меня 8.5-9 литров по городу и около 6 по трассе Надежен в техническом плане, шустрый для 1.3 движка в общем не плохо с тазиками и рядом не стоял... каждый день езжу на работу не разу не подводила. Машина не боится сильных морозов-заводиться как часы. Рекомендую лишь масло вовремя менять в движке и коробке и будет вам счастье...","
авто: отличный, надежный, шустрый: положительно
машина: не боится сильных морозов: положительно"
9,"Я тоже хочу несколько слов написать о минивэне Dodge Caravan. У меня такой Доджик 1999 года выпуска с 3- литровым двигателем 6G72(японец). Приобрел я его в 2008 году. До сих пор на нем езжу. Более крепкой во всех смыслах машины я не знаю. По роду своей деятельности мне приходится много ездить;в месяц по 10 000 км. Передние и задние амортизаторы по менял только в этом году. Шаровые опоры за 6 лет менял 3 раза. Коробка передач работает как часики. У меня установлено газобалонное оборудование для метана. Единственное, что пришлось сделать за эти 6 лет-поменять седла клапанов на головке блока цилиндров. И то только потому, что на японских двигателях стенки седел клапанов тонкие, а вот немецкие движки газа не боятся. Машина отличная. И, кстати канадской сборки.","машина: крепкая во всех смыслах: положительно 
двигатель: отличная работа: положительно 
коробка передач: как часики: положительно"
11,"Мы долго думали какую машину купить искали, спрашивали у знакомых, ходили в салоны. Мы решили в салон Дэу и нам приглянулась машина эта машина дедушке она понравилась сразу. Через неделю мы посоветовавшись взяли деньги и пошли в салон покупать этот автомобиль. Долго ждать не пришлось автомобиль нашей комплектации пришел в течении недели. Впервые когда сели в автомобиль он показался очень удобным и комфортным. В общем это очень удобная и не дорогая машина по сравнению с ладами российского производства. В машине стоит очень удобный магнитофон, звучание у него очень хорошее. Фумаизаляция средняя. Есть а этой машине и минусы например такие когда на улице грязно, грязь из под колёс забивает в двери, машина постоянно грязная.","
машина: удобная, не дорогая: положительно 
магнитофон: удобный, звучание хорошее: положительно 
фумаизаляция: средняя: нейтрально 
минусы: грязь забивает в двери: негативно"
12,"Такая машина в нашей семье. Очень стойкая, никаких поломок за 2,5 года. Масло и расходники только меняли. Рулевое управление очень мягкое. Несмотря на то что машина вроде мужская, но и мне на ней ездить легко. Короче, рекомендую всем. А влезает в нее практически все!","машина: очень стойкая: положительно
управление: очень мягкое: положительно"
13,"Использую уже 4 года. Из возникших проблем, так это замена рулевой рейки. Но это я списываю на плохие дороги. Очень нравится двигатель Mitsubishi 1,5. Резвый. Первая передача слабовата, а вот с каждой последующей рвёт красиво :) Салон кожаный, все электроподъёмники, электролюк, управление магнитолой с руля, электрорегулировка зеркал заднего вида с салона, просторный багажник (зимняя детская коляска, велосипед легко помещались). Можно сложить задние сиденья и разместить длиномерный груз. Хороший кондиционер, правда фильтр салона часто приходиться менять. Есть даже компас :) Правда он с китайскими иероглифами. Слабоваты передние стойки. На 30 тыс. пришлось заменить. А так в принципе доволен. Добротный семейный автомобиль! ","
машина: надежная, неприхотливая: положительно 
двигатель: резвый: положительно 
передачи: слабовата: негативно 
салон: кожаный: положительно 
кондиционер: хороший: положительно 
передние стойки: слабоваты: негативно"
14,"Машину рекомендовал бы таксистам и в качестве служебной машины. В личное пользование никому не рекомендую. Быстро выходит из строя. Начинаются проблемы уже на 20 тыс. Качество сборки очень низкое. Одним словом Узбекистан. Зато ради ходовой можно её смело брать. А всё остальное на троичку с натяжкой. Большой плюс это крутой магнитофон ORION немного смягчает краски от пользования автомобилем. Посадка водителя очень низкая, создаётся впечатление, как-будто пятой точкой по асфальту едешь. :) Это же не спортивный болид. Движок слабоват. Разгоняется очень медленно, на обгон жутковато идти :( Сзади водителя сядет только ребёнок. Очень мало места. Зато багажник вместительный. Это большой плюс. Ещё плюсом можно назвать регулировку фар. ","
машина: надежная, неприхотливая: положительно 
дефекты: легко ремонтируются: положительно
магнитофон: крутой: положительно 
посадка водителя: низкая: нейтрально 
движок: слабоват: негативно 
багажник: вместительный: положительно 
регулировка фар: есть: положительно"
16,"У меня когда то была ""четверка"". Автомобиль конечно не бизнес-класс, да и разваливаться иногда на ходу начинает. Но если вы настоящий сельский мужик с хозяйством и полями, автомобиль для вас! 5-7 мешков картошки не предел. Довольно выносливый, расход бензина не очень большой. Летом конечно приходиться открывать все окна, так как кондиционер только такой. Сильно все скрипит в салоне. Вечно что то брякает, особенно задняя полка, по этому большинство автолюбителей просто избавляются от нее. Подвеска не сказать что плохая, у более новых авто даже мягче чем у таких моделей как 21099 или подобных. В целом авто не плохой, если его возраст не превышает 5-7 лет. ","
машина: не бизнес-класс: нейтрально 
машина: разваливаться иногда на ходу начинает: негативно 
машина: выносливый: положительно 
машина: расход бензина не очень большой: положительно 
кондиционер: только такой: негативно 
салон: сильно все скрипит: негативно 
полка: брякает: негативно 
подвеска: не сказать что плохая: нейтрально"
