,Text,Response
38,"«Однажды в Америке» — это грандиозная гангстерская сага, поражающая своей эпичностью, реализмом и эмоциональностью. Великолепная игра актёров, насыщенный, богатый оттенками сюжет, энигматическая музыка Энио Морриконе — вот главные составляющие этой величественной фрески Сержио Леоне. 10 из 10","грандиозная гангстерская сага: поражает эпичностью, реализмом, эмоциональностью: положительно 
игра актёров: великолепная: положительно 
сюжет: насыщенный, богатый оттенками: положительно 
музыка Энио Морриконе: энигматическая: положительно"
30,"Замечательный пример того, что не одним «Достучаться до небес» сильны немцы. Очень симпатичный фильм о настоящей любви. Отличные актёры — Тиль Швайгер (к которому не могу не быть предвзятым) и Йоханна Вокалек (убедительно сыгравшая милую девушку, которую мать 19 лет держала взаперти). Приятная ретро-картинка, изумительная музыка и ненавязчивый юмор. Wie weit gehst du, wenn du verliebt bist?","

фильм: очень симпатичный, о настоящей любви: положительно 
актёры: отличные: положительно 
ретро-картинка: приятная: положительно 
музыка: изумительная: положительно 
юмор: ненавязчивый: положительно"
92,"Долгое время боялась писать комментарий к этому шедевральному фильму, но вот, решилась. Трудно будет писать, так как придётся перебирать в памяти страшные кадры этой картины. Я очень увлечена темой холокоста, много читала об этом, книги, документы, многое, в общем. Когда-то мама говорила мне про этот фильм, говорила, что хоть он и идёт три часа, она не может его оставить недосмотренным, пусть хоть 4 часа утра, но она досмотрит. Я посмотрела его не сразу после того, как о нём узнала. Когда мне сказали, что этот фильм на тему холокоста, я решилась, села и посмотрела. И вот.. ступор. Весь страх, вся трагичность и боль передались мне. Как будто я сама была одной из тех бедных людей, которых уничтожали. Я плачу каждый раз, когда досматриваю этот фильм. «Список Шиндлера» точно показал что такое хорошо, а что такое плохо, эта картина- шедевр, который никогда не должен быть забыт, потому что именно холокост показал степень жестокости, которой могут обладать люди и то, какими нельзя быть ни за что в жизни. Это кино очень страшное. Без всяких монстров, вампиров и вурдалаков. «Список Шиндлера» — это правда. Даже представить себе невозможно сколько ценности для мира представляют такие люди, как Оскар Шиндлер. Он спас 1000 человек за свой счёт, рискуя жизнью и не для чего-то, а потому что так надо и так правильно. Великолепный, шедевральный и бесподобный фильм. Высшая оценка. 10 из 10","фильм: шедевральный, великолепный, бесподобный: положительно 
кино: очень страшное: нейтрально"
25,"Вернулась из кинотеатра пару часов назад и всё сижу размышляю над фильмом. Осмысливаю, смакую детали, додумываю продолжение. Точнее говоря нахожусь под впечатлением. Давно уже не смотрела столь качественного кино. Последнее время фильмы какие-то смазанные, пустые, ни о чем. Либо люди бегут смотреть на Эдварда Каллена. Либо пускают слёзы, сопли и слюни восторга на абсолютно никчемном аватаре. А тут же оказался добротный, хороший фильм. С яркой идеей, грамотным саундтреком, хорошими актерами, интересным сценарием, оригинальной задумкой и замечательным исполнением. За два часа просмотра фильма, я ни на секунду не пожалела о том что нахожусь сейчас именно в кинотеатре, именно на этом фильме. (хотя за последние 3 года таких моментов по пальцам сосчитать можно, хотя по киношкам я хожу довольно часто.)  Короче: советую!  10 из 10","фильм: добротный, хороший, качественный, с яркой идеей, грамотным саундтреком, хорошими актерами, интересным сценарием, оригинальной задумкой, замечательным исполнением: положительно"
52,"Фильм хороший и спорить тут сложно. Осталось много воспоминаний, но почему-то у меня возникает чувство нарисованности происходящего. Война? Война слишком красива. Слишком много нелогичных и непонятных поступков. Осталось послевкусие после таких военных сцен, не по настоящему. Но больше всего для меня отравил фильм этот американский патриотизм.  Да, фильм на широкую публику, показать какая Америка хорошая страна и как заботиться о своих гражданах, но выглядит совершенно неправдоподобно. Нет такого патриотизма. Патриотизм есть, есть по силе сравнимый, но выглядит он не так.  И еще… Опять американцы выиграли Вторую Мировую. Извините, но меня фильм отталкивает своей американской пропагандой, какая Америка хорошая страна и тому подобное.  Фильм хороший. Но это лишь красивая сказка на ночь, мораль которой мне чужда. 6 из 10 Да и еще… Для меня наверное самый ХУДШИЙ фильм про Вторую Мировую Войну.","фильм: хороший: положительно 
фильм: на широкую публику: нейтрально
послевкусие: не по настоящему: негативно 
американский патриотизм: отталкивает: негативно 
мораль: чужда: негативно"
51,"Фильм полная скукота! Если бы Джим Керри согласился бы сниматься, то был бы совсем другой сценарий, другие актеры и можно было бы даже припахать режисера первой Маски! Но я надеюсь, что может кто-нибудь решиться исправить эту ужасную ошибку, сняв третью часть, и вернет Джима Керри. Если это случится, то все мы будем ждать этого фильма с нетерпением.","фильм: полная скукота: негативно 
третья часть: может быть снята: положительно"
81,"Это самый лучший фильм всех времен и народов! Самые замечатльные спецэффекты, как например, Леголас убивает слона, это мой самый любимый момент! Великолепный пейзажи, игра актеров на высоте! Особенно меня в этой трилогии поразил и открылся актер Орладо Блум. Я стала его фанаткой, приклоняюсь перед его актерскими данными и внешностью. Честно говоря я в него влюблена! Разочаровал меня свой игрой Эйлайджа Вуд. Один из моих любимых актеров стал меня бесить. Нельзя не отметить также Лив Тайлер, замечательную актрису, и конечно великолепного режиссера Питера Джексона. Книга для меня была совершенно не интересной, фильм стал моим любимейшим из всех фильмов!","фильм: лучший всех времен и народов: положительно 
спецэффекты: замечательные: положительно 
пейзажи: великолепные: положительно 
игра актеров: на высоте: положительно 
Орладо Блум: открылся, поразил: положительно 
Эйлайджа Вуд: разочаровал своей игрой, стал бесить: негативно 
Лив Тайлер: замечательная актриса: положительно 
Питер Джексон: великолепный режиссер: положительно"
66,"Стрёмный и нудный фильм. Американцы как всегда бесятся, и показывают что им не достаёт ни каких проблем выкинуть деньги на ветер, а русские прокатчики зачем то выбрасывают такие паршивые ленты на большой экран, хотя такую чушь можно выпускать прямиком на кассетах в ограниченном издании. Ужасный фильм. И к тому же не детский… Давайте лучше будем считать что второй части пока ещё не сняли…","фильм: стрёмный, нудный, ужасный: негативно
русские прокатчики: выбрасывают паршивые ленты: негативно"
46,"Сама идея фильма меня нисколько не смутила, не вызвала рвотных позывов и прочего как у множества тех, кто выделил свои рецензии красным цветом. Я поставил самую низкую оценку по другим причинам. Начнем с того, что тупых моментов здесь просто огромное количество. Две девушки поехали в клуб через лес. Хммм. С этого момента уже становится понятно что ничего умного можно не ждать. Ну конечно же они прокололи колесо! Конечно же они поперлись в самый лес искать помощь и конечно же нашли дом! Очень непредсказуемый поворот событий, правда? Дверь им открыл мужик, лицо которого намекало этим дамочкам: «Лучше бы вам держаться подальше отсюда». Девушки не долго думая зашли в дом, да еще и с удовольствием выпили водички и через некоторое время очнулись привязанными к койкам.  Идея многоножки абсурдна абсолютно. Единая пищеварительная система не имеет смысла, ведь второе и третье звенья многоножки питаются калом и понятно что они умрут. Мотивы доктора непонятны. Он считал что пришить рот к анусу это гениально? Учитывая что это его «гениальное» творение сдохнет через пару дней, я бы так не сказал.  Также мне показался сомнительным тот момент, когда пытавшаяся сбежать девушка выдрала катетер из своей руки и бодренько так бегала по всему дому истекающая кровью.  На все сказанное выше можно было бы закрыть глаза, если бы события в фильме развивались стремительно, захватывающе. Но все довольно уныло и нудно, несмотря на небольшую продолжительность (полтора часа) 1 из 10","Идея фильма: не смущает, не вызывает рвотных позывов: нейтрально 
тупые моменты: огромное количество: негативно 
идея многоножки: абсурдна: негативно 
мотивы доктора: непонятны: негативно 
события в фильме: унылые и нудные: негативно"
20,"Я верю в жизнь после смерти, и поэтому сюжет фильма очень мне понравился. Причём не только мне — недаром «Привидение» получило «Оскар» в номинации «Лучший сценарий».  Патрик Суэйзи и Деми Мур замечательно смотрятся в образе влюблённой пары. У этих актёров много классных работ в кино, но среди них довольно редко можно встретить лирические. Образы Сэма и Молли стали для меня любимыми ролями Патрика и Деми.  Ну а Вупи Голдберг, как всегда, повеселила. От этой удивительной актрисы в любом фильме исходит просто фонтан позитива и хорошего настроения! Приятно, что за роль Оды Мэй ей вручили «Оскар» как лучшей актрисе второго плана.  В фильме прекрасная музыка и очень милые, трогательные песни. И как же красивы эпизоды, когда Сэм с Молли лепят кувшин и когда танцуют! В моменты, когда смотришь на эти добрые и романтичные сцены, испытываешь невероятное наслаждение и счастье.  «Привидение» — это замечательная история о том, что любимые люди даже после смерти всегда находятся рядом с нами. Мы не можем их увидеть и дотронуться до них, но наша любовь к ним, так же, как и их любовь к нам, всегда живёт в наших сердцах. Она помогает нам идти по жизни, даёт советы в трудную минуту и направляет на правильный путь.  А ещё это история о том, как важно почаще говорить любимым людям три простых слова: «Я тебя люблю». Несомненно, они и так знают об этом, но эти слова всё равно очень важно услышать…  10 из 10","сюжет фильма: понравился: положительно 
Патрик Суэйзи и Деми Мур: замечательно смотрятся в образе влюблённой пары: положительно 
Вупи Голдберг: повеселила: положительно 
музыка: прекрасная: положительно 
песни: милые, трогательные: положительно 
эпизоды: красивые: положительно 
история: замечательная: положительно"
15,"Фильм настолько добрый, что, посмотрев его, не хочется больше видеть драки и стрельбу из надоевших триллеров и боевиков.  Фильм пробуждает внутри тебя какие-то давно забытые добрые чувства. Описывать долго не стоит.  Скажу лишь одно: Рекомендуется для просмотра любой аудитории! 10 из 10","фильм: добрый: положительно 
фильм: пробуждает добрые чувства: положительно 
рекомендация: для просмотра любой аудитории: положительно"
