,Text,Response
3,"Отметили с мужем годовщину свадьбы 6 ноября в этом заведении. в целом остались довольны, особенно сервисом. Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался. для цветов наш официант Сергей сразу принес вазу. Что касается меню, не могу сказать что оно слишком разнообразное. Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500. Утка оказалась очень маленькой, хотя нам сказали, что 4 человека просто объедятся и упадут=)Но впринципе мы наелись вдвоем и достатолчно вкусно. Свинина мне не понравилась. Раньше в других ресторанах я ела намного вкуснее. На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские. Хоть осталось неплохое впечатление, но снова туда не пойдем, восторга не возникло, несмотря на отличное обслуживание. Ожидала более вкусной еды...","меню: не слишком разнообразное: нейтрально
обслуживание: отличное: положительно 
утка: маленькая: негативно 
свинина: не понравилась: негативно
ресторан: не из дешевых: нейтрально
впечатление: неплохое: нейтрально"
4,"Ребята, вы - лучшие! Недавно были небольшой дружной компанией, понравилось абсолютно все! Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня! Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""! Хоть и живем от вас не близко, думаю, в гости заглянем снова!","
персонал: приветливый: положительно 
сервис: на уровне: положительно 
интерьер: прекрасный, уютный: положительно 
музыка: просто слух радовала: положительно"
5,"Зашла в ресторан первое впечатление отличное, но правда, что сразу не понравилось это то, что заранее заказали столик у окна, но нас посадили в самое ужасное место! Официанты очень приятные, не навязчивые, сервис отличный! Что касается кухни, честно, мне не понравилось(( мясо ждали минут30, если не больше.... интерьер отлиный, персонал тоже, но кухня не вкусная","
первое впечатление: отличное: положительно 
столик: заранее заказали у окна, посадили в самое ужасное место: негативно 
официанты: приятные, не навязчивые: положительно 
сервис: отличный: положительно 
кухня: мясо ждали минут30, не вкусная: негативно 
интерьер: отлиный: положительно"
6,"Были вчера компанией 6 человек в ""Суп-вино"". Столик бронировали заранее, что, думаю, всегда стоит делать в таким небольших ресторанах. Хочется сказать, что мы остались очень довольны. Интерьер приятный, абсолютно ненавязчивый, уютный, высокие столики удобны, музыка тихая, не мешает общаться. Меню интересное, всё очень вкусно, приемлемо по цене, готовится очень быстро!!! Много комментариев про плохое обслуживание, но они все старые, а вот нас обслуживал очень приятный молодой человек , вежливый и с чувством юмора. Блюда менялись незаметно, напитки принесли сразу же после заказа. Мы отлично провели время, с удовольствием придём еще!!!","
Интерьер: приятный, уютный, высокие столики удобны, музыка тихая: положительно 
Меню: интересное, всё очень вкусно, приемлемо по цене: положительно 
Обслуживание: вежливый, с чувством юмора: положительно"
7,"Добрый день! Мы с молодым человеком любим открывать новые места..разные рестораны..особенно итальянские. Были во многих уже. Нашла по рейтингу ресторан, пришли, все гости сидели на террасе (лето все таки), а мы сели внутри (поближе к конждиционеру)). Интерьер очень уютный. Сидели прямо напротив кухни (где пиццу готовят) около окна. Есть отзывы, что пахнет кухней..но я не особо заметила..да и легкий аромат пиццы думаю только аппетита прибавит) Начиталась отзывов, что хорошая пицца - взяли именно ее, и остались очень довольны!! Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет. Таким образом я ставлю оценку заведению. Хлеб должен быть свежий, тираму таять во рту, а на туалетах не должны экономить!! Все понравилось, десерт волшебный! Мило посидели, в окно видела Спас на крови...романтик) Официантка вежливая очень. Напитки принесла быстро...да и еду совсем не пришлось ждать! в общем большое спасибо за атмосферу и угощения. Обязательно придем еще!","
интерьер: очень уютный: положительно 
пицца: довольны: положительно 
хлеб: свежий: положительно 
тирамису: таять во рту: положительно 
туалеты: чистые: положительно 
десерт: волшебный: положительно 
официантка: вежливая: положительно"
8,"Добрый вечер! Начну сразу, мне ужасно не понравилось, такого отношения в ресторанах я давненько не встречала, Пришла наша компания восемь вечера, наш забронированный столик оказался занят,с нами не поздоровались,предложили другой столик, на весь ресторан работал один официант, наши блюда мы ждали час, притом. что для компании которая пришла позже нас, все подали в течение 15 минут,настроение на нуле...и обещанное одеяло на ДР мы не получили, сказали надо предупреждать о ДР! интересно как это нужно делать, я же бронировала столик на ДР, КАК ЕЩЕ ПРЕДУПРЕДИТЬ?????? Двоякое впечатление о месте... Могу отметить, что сама обстановка и интерьер приятные, еда довольно вкусная, но вот обслуживание на минусе, даже не хотелось оставлять чай...и это был др(((((","
Обслуживание: на минусе: негативно 
еда: довольно вкусная: положительно 
ощущение: двоякое: нейтрально
обстановка: приятная: положительно 
интерьер: приятный: положительно"
11,"Буквально на днях отмечали с мужем наш небольшой юбилей - 2 года. Выбрали для романтического вечера Макарену и очень довольны выбором! Меню отменное, столько всего, что решили заходить почаще чтобы попробовать разные блюда. Коктейли очень вкусные и необычные, есть из чего выбрать. Заказывали салаты из языка и морепродуктов и паэлью с курицей и кроликом. Все очень вкусно и сытно, порции большие, объелись! Отличный кальян, сполна насладились, прекрасный молодой человек кальянщик, приветливый, помог определиться с выбором и не прогадал! Красивый интерьер, были на втором этаже у окна. Музыка понравилась, не давит громкостью как во многих заведениях, а создает уютную романтичную атмосферу. Персонал дружелюбный, все улыбаются, постоянно подходят убирают со стола, предложили оформить накопительную скидку, что очень даже неплохо! В общем, спасибо за прекрасный вечер! Теперь мы ваши постоянные клиенты!","
меню: отменное: положительно 
коктейли: вкусные, необычные: положительно 
салаты: вкусно, сытно: положительно 
паэлью: вкусно, сытно: положительно 
кальян: отличный: положительно 
кальянщик: приветливый: положительно 
интерьер: красивый: положительно 
музыка: понравилась: положительно 
персонал: дружелюбный: положительно"
12,"Отличное кафе!!!! Отмечала в нем свой день рождения с друзьями. Все было замечательно - вкусная и обильная еда, большие блюда, обстановка, вежливая администратор Александра. Небольшое уютное кафе. Очень низкие цены (и это с учетом того, что место находится на Невском проспекте). Я уже не первый раз сюда хожу и всегда очень довольна. Очень вкусные хачапури с сыром, вкусный лосось (кусок очень большой и сытный). И много другой вкусной еды. У меня все друзья решили сюда прийти еще не раз. Если говорить о минусах: Минус, пожалуй, один: Внизу не очень красивый антураж. ПО крайней мере, мне не очень нравится. Но, наверное, это на любителя. На верхнем этаже все супер!!!! НО зато внизу можно попеть караоке! Есть ооочень вкусный кальян. В общем, порекомендую это место всем тем, кто хочет вкусно, сытно и не очень дорого отметить какой-нибудь праздник или просто посидеть вдвоем в уютной обстановке. Очень-очень довольна!!!!","кафе: отличное: положительно 
еда: вкусная, обильная: положительно 
блюда: большие: положительно 
обстановка: уютная: положительно 
администратор Александра: вежливый: положительно 
цены: низкие: положительно 
хачапури: вкусные: положительно 
лосось: вкусный: положительно 
кальян: вкусный: положительно"
13,"В эти выходные отмечала день рождения в этом ресторане.Столик заказала заранее,попросила посадить поуютнее-не разочаровали,посадили именно туда куда и хотели.Интерьер очень приятный,играет спокойная музыка.Кухня очень понравилась,особенно мясо (говядина с рукколой) и десерты(грушевый наполеон).Все гости остались очень довольны,спасибо большое!!! С обслуживанием повезло,попалась милая девушка,которая подробно рассказывала и отвечала на все вопросы с улыбкой. Придем еще обязательно!","
обслуживание: повезло, милая девушка: положительно 
кухня: очень понравилась: положительно 
десерты: грушевый наполеон: положительно 
интерьер: очень приятный: положительно"
14,"В пятницу отмечали свадьбу в этом ресторане. Т. к. гостей было немного, то просто заказали столик. Отлично провели время. Хорошая кухня и обслуживание, приятная атмосфера. Очень порадовал подарок от шеф-повара для молодых. Спасибо вам большое! Всем советую сходить туда, цены приемлемые.А вечером в пятницу и в субботу танцевальное шоу и живая музыка.","
кухня: хорошая: положительно 
обслуживание: хорошее: положительно 
атмосфера: приятная: положительно 
подарок от шеф-повара: порадовал: положительно 
цены: приемлемые: положительно"
15,"была там последний раз где то месяц назад в часа 4!столы были почти все заняты,заказала суп,несли не долго и было вкусно,на кухню там не когда не жаловалась,всегда приносят комплимент от шеф повара,а что касается спагетти,можно заказать пол порции если есть не особо хочется!сам ресторан не очень большой,интерьер довольно приятный,как то там все уютно!но есть огромный минус,ресторан находится на улице восстания и к сожалению,там не где парковаться и очень сложно найти место хотя бы поблизости,причем что днем,что вечером!","
столы: почти все заняты: нейтрально
суп: несли не долго, было вкусно: положительно 
кухня: не когда не жаловалась: положительно 
спагетти: можно заказать пол порции: положительно 
ресторан: не очень большой, уютный: положительно 
интерьер: довольно приятный: положительно 
минус: не где парковаться, сложно найти место: негативно"
16,"Сегодня обедали в Фартуке вдвоем с мужем. На сайте отзывы заранее не читала, иначе, может быть, выбрали другое место. Но рада, что зашли именно в это! Кухня: вкусно и недорого, порции небольшие, но нам в самый раз. Хлебная тарелка - четыре горячих булочки с чесночным маслом - обалдение. Есть домашние лимонады, фруктовые и молочные коктейли. Насчет карты вин не скажу - не пили. Интерьер: как уже было написано, полностью соответствует фото. Без изысков, но уютно, столиков мало. Больше подходит для встречи с друзьями, для обеда после прогулки. На романтический вечер скорее будет не лучшим вариантом. Сервис: у нас все было чудесно! я вообще редко довольна сервисом. Быстро приняли заказ, быстро приготовили, очень милая и простая девушка давала советы по меню, легко общалась с клиентами. Рассчитали тоже быстро. Так что советую.","
кухня: вкусно, недорого: положительно 
порции: небольшие: нейтрально 
хлебная тарелка: обалдение: положительно 
интерьер: как уже было написано, полностью соответствует фото: нейтрально 
сервис: быстро приняли заказ, быстро приготовили, очень милая и простая девушка давала советы по меню, легко общалась с клиентами, рассчитали тоже быстро: положительно"
17,"Очень просторно и светло, интерьер в моем любимом стиле:) места мнооооого, и вид из окна хороший. Были днем (у мужа офис в БЦ Авеню), зашли выпить кофе, есть не хотелось, поэтому оценить кухню по достоинству решили в другой раз. Я съела только тыквенный суп (понравилось, и булочки к нему подали очень вкусные), муж пил кофе. Надеюсь в следующий раз попробовать пиво, говорят оно там неплохое. К официантам претензий нет, правда мы были днем, народу в зале мало, так что не знаю как там в вечерние часы обстоит дело с обслуживанием. Нас обслужили быстро:) Обязательно придем еще!","
интерьер: в моем любимом стиле: положительно 
места: много: положительно 
вид из окна: хороший: положительно 
тыквенный суп: понравился: положительно 
булочки: вкусные: положительно 
пиво: неплохое: положительно 
обслуживание: быстро: положительно"
19,"Добрый день! Первый раз пишу отзыв о ресторане, настолько меня впечатлило данное место. Прекрасная кухня, уютный интерьер, доброжелательные официанты, очень дружественная атмосфера! Невозможно уйти оттуда с плохим настроением и голодным, порции очень большие!)) Особенно порадовал ценник...качественная еда за небольшие деньги. Ходили с молодым человеком, заказали омлет по-баварски 260р., салат с теплой куриной печенью 260р., пиво 0,5л. 220р. и бокал белого вина 250р., все вместе обошлось нам всего лишь в 990р. Вообщем впечатление прекрасное, будем заходить еще!!!)))))","
кухня: прекрасная: положительно 
интерьер: уютный: положительно 
официанты: доброжелательные: положительно 
атмосфера: очень дружественная: положительно 
ценник: порадовал: положительно
еда: качественная: положительно"
